sep=;
Time;*
2017-04-19T00:00:00.000Z;2399786
2017-04-20T00:00:00.000Z;4021521
2017-04-21T00:00:00.000Z;3547910
2017-04-22T00:00:00.000Z;1583297
2017-04-23T00:00:00.000Z;1268094
2017-04-24T00:00:00.000Z;3809584
2017-04-25T00:00:00.000Z;4232360
2017-04-26T00:00:00.000Z;3978605
2017-04-27T00:00:00.000Z;4100036
2017-04-28T00:00:00.000Z;4559753
2017-04-29T00:00:00.000Z;2121014
2017-04-30T00:00:00.000Z;1794469
2017-05-01T00:00:00.000Z;2925654
2017-05-02T00:00:00.000Z;5631300
2017-05-03T00:00:00.000Z;5219040
2017-05-04T00:00:00.000Z;4887379
2017-05-05T00:00:00.000Z;4717884
2017-05-06T00:00:00.000Z;2051166
2017-05-07T00:00:00.000Z;1665130
2017-05-08T00:00:00.000Z;5036685
2017-05-09T00:00:00.000Z;4216927
2017-05-10T00:00:00.000Z;4495572
2017-05-11T00:00:00.000Z;4014382
2017-05-12T00:00:00.000Z;3837418
2017-05-13T00:00:00.000Z;1696658
2017-05-14T00:00:00.000Z;1298336
2017-05-15T00:00:00.000Z;3879471
2017-05-16T00:00:00.000Z;3755349
2017-05-17T00:00:00.000Z;3692132
2017-05-18T00:00:00.000Z;3665212
2017-05-19T00:00:00.000Z;3708810
2017-05-20T00:00:00.000Z;1793501
2017-05-21T00:00:00.000Z;1409766
2017-05-22T00:00:00.000Z;4232073
2017-05-23T00:00:00.000Z;3913182
2017-05-24T00:00:00.000Z;3934655
2017-05-25T00:00:00.000Z;4470856
2017-05-26T00:00:00.000Z;4148623
2017-05-27T00:00:00.000Z;2132025
2017-05-28T00:00:00.000Z;1685178
2017-05-29T00:00:00.000Z;5085785
2017-05-30T00:00:00.000Z;4823087
2017-05-31T00:00:00.000Z;5280165
2017-06-01T00:00:00.000Z;6460793
2017-06-02T00:00:00.000Z;5526789
2017-06-03T00:00:00.000Z;2509562
2017-06-04T00:00:00.000Z;1850520
2017-06-05T00:00:00.000Z;5274241
2017-06-06T00:00:00.000Z;5111353
2017-06-07T00:00:00.000Z;4914689
2017-06-08T00:00:00.000Z;4385454
2017-06-09T00:00:00.000Z;4337024
2017-06-10T00:00:00.000Z;2173799
2017-06-11T00:00:00.000Z;1557169
2017-06-12T00:00:00.000Z;5008782
2017-06-13T00:00:00.000Z;4165874
2017-06-14T00:00:00.000Z;4002834
2017-06-15T00:00:00.000Z;4448542
2017-06-16T00:00:00.000Z;3909541
2017-06-17T00:00:00.000Z;1865746
2017-06-18T00:00:00.000Z;1423572
2017-06-19T00:00:00.000Z;4364457
2017-06-20T00:00:00.000Z;4235679
2017-06-21T00:00:00.000Z;4032207
2017-06-22T00:00:00.000Z;3985586
2017-06-23T00:00:00.000Z;3981787
2017-06-24T00:00:00.000Z;2047015
2017-06-25T00:00:00.000Z;2172193
2017-06-26T00:00:00.000Z;4880038
2017-06-27T00:00:00.000Z;4487616
2017-06-28T00:00:00.000Z;4607774
2017-06-29T00:00:00.000Z;4755539
2017-06-30T00:00:00.000Z;5713283
2017-07-01T00:00:00.000Z;3900643
2017-07-02T00:00:00.000Z;2407116
2017-07-03T00:00:00.000Z;6494400
2017-07-04T00:00:00.000Z;5907764
2017-07-05T00:00:00.000Z;5736096
2017-07-06T00:00:00.000Z;5233304
2017-07-07T00:00:00.000Z;4715801
2017-07-08T00:00:00.000Z;2446161
2017-07-09T00:00:00.000Z;2160766
2017-07-10T00:00:00.000Z;5436660
2017-07-11T00:00:00.000Z;4560155
2017-07-12T00:00:00.000Z;4417147
2017-07-13T00:00:00.000Z;4799652
2017-07-14T00:00:00.000Z;4692507
2017-07-15T00:00:00.000Z;2458352
2017-07-16T00:00:00.000Z;1886546
2017-07-17T00:00:00.000Z;5225784
2017-07-18T00:00:00.000Z;4703417
2017-07-19T00:00:00.000Z;4581049
2017-07-20T00:00:00.000Z;5027406
2017-07-21T00:00:00.000Z;4556554
2017-07-22T00:00:00.000Z;2364461
2017-07-23T00:00:00.000Z;1780227
2017-07-24T00:00:00.000Z;5007359
2017-07-25T00:00:00.000Z;5002783
2017-07-26T00:00:00.000Z;4868813
2017-07-27T00:00:00.000Z;5006132
2017-07-28T00:00:00.000Z;5586689
2017-07-29T00:00:00.000Z;2933951
2017-07-30T00:00:00.000Z;2138055
2017-07-31T00:00:00.000Z;6366282
2017-08-01T00:00:00.000Z;7380652
2017-08-02T00:00:00.000Z;6341620
2017-08-03T00:00:00.000Z;5496682
2017-08-04T00:00:00.000Z;5285450
2017-08-05T00:00:00.000Z;2822260
2017-08-06T00:00:00.000Z;2053618
2017-08-07T00:00:00.000Z;5235077
2017-08-08T00:00:00.000Z;4737145
2017-08-09T00:00:00.000Z;4379451
2017-08-10T00:00:00.000Z;4719957
2017-08-11T00:00:00.000Z;4134006
2017-08-12T00:00:00.000Z;2256451
2017-08-13T00:00:00.000Z;1710496
2017-08-14T00:00:00.000Z;3918932
2017-08-15T00:00:00.000Z;2242092
2017-08-16T00:00:00.000Z;4022333
2017-08-17T00:00:00.000Z;3709719
2017-08-18T00:00:00.000Z;3515177
2017-08-19T00:00:00.000Z;2121663
2017-08-20T00:00:00.000Z;1657576
2017-08-21T00:00:00.000Z;4235861
2017-08-22T00:00:00.000Z;3879321
2017-08-23T00:00:00.000Z;3726565
2017-08-24T00:00:00.000Z;3748153
2017-08-25T00:00:00.000Z;4365713
2017-08-26T00:00:00.000Z;2337505
2017-08-27T00:00:00.000Z;1853830
2017-08-28T00:00:00.000Z;5304543
2017-08-29T00:00:00.000Z;5177914
2017-08-30T00:00:00.000Z;5424924
2017-08-31T00:00:00.000Z;5801256
2017-09-01T00:00:00.000Z;6941872
2017-09-02T00:00:00.000Z;3447034
2017-09-03T00:00:00.000Z;2382506
2017-09-04T00:00:00.000Z;6434370
